gps,ifo,label,snr,peak_frequency,central_freq,bandwidth,duration,gravityspy_id
1127482913.206054,H1,Koi_Fish,62.7725791931152,99.0665969848633,255.297912597656,446.595855712891,0.8125,5WeKkUnRDz
1127484197.519531,H1,Tomte,10.9127998352051,43.5510215759277,70.8925399780273,77.7850875854492,0.5,vz1a6wIDM9
1127484860.140625,H1,Power_Line,14.2553396224976,60.7991905212402,64.3468170166016,50.0955009460449,0.625,TTEaoB7gD5
1127485282.534912,H1,Blip,14.1373796463013,417.400390625,998.5927734375,1900.65954589844,0.0468799993395805,zPz1duXKV8
1128741560.114257,H1,Blip,8.70353984832764,183.494873046875,372.953155517578,649.380310058594,0.0390600003302097,z6ecH0LC4k
1128741690.271484,H1,Low_Frequency_Burst,9.01463031768799,80.6668319702148,83.4132995605469,102.826599121094,0.15625,otRJpp9g6I
1128741693.060547,H1,Low_Frequency_Burst,8.5496997833252,80.6668319702148,121.323570251465,164.04899597168,0.09375,2NEQyXd0IU
1128742321.281250,H1,Low_Frequency_Burst,12.7245397567749,32.4596900939941,1112.5849609375,2161.169921875,1.125,SNbjBDYdmZ
1128760460.820312,H1,Low_Frequency_Burst,8.20662021636963,33.7789688110352,40.1315116882324,16.2630100250244,0.5,wu3I1LwRXL
1128761536.312500,H1,Scattered_Light,7.82889986038208,43.0568008422852,43.8050498962402,7.39972019195557,0.5,YUAANLsoid
1128761542.281250,H1,Low_Frequency_Burst,11.8381500244141,33.3989791870117,185.420913696289,306.841827392578,1.0,jfZWyn3Fvv
1128762876.039062,H1,Whistle,8.19690990447998,317.470733642578,312.273681640625,67.316520690918,0.171880006790161,IhYRkimrrl
1129800239.828125,H1,Power_Line,11.4533596038818,59.0893211364746,60.5271110534668,24.528190612793,0.625,a8JOykhGbk
1129800887.969726,H1,Violin_Mode,15.4295701980591,2025.31018066406,1748.48645019531,3432.97290039062,0.09375,xGWW4rEj7m
1129801338.733398,H1,Violin_Mode,20.2311496734619,2025.31018066406,1838.46643066406,3612.93286132812,0.454589992761612,Txrf43KISB
1129801339.811523,H1,Violin_Mode,24.907190322876,2025.31018066406,1838.46643066406,3612.93286132812,0.5,OyZIiwbjA0
1129801501.930664,H1,Violin_Mode,16.8353595733643,2025.31018066406,1972.76416015625,3881.5283203125,0.1875,Jht0RqSvzI
1129801533.235351,H1,Violin_Mode,19.0529708862305,2025.31018066406,1972.76416015625,3881.5283203125,0.134279996156693,gpAcK3jcD4
1129801592.372070,H1,Violin_Mode,22.1457691192627,2025.31018066406,1972.76416015625,3881.5283203125,0.35741999745369,J6NZTERoNW
1129801621.471679,H1,Violin_Mode,31.6463298797607,2025.31018066406,1972.76416015625,3881.5283203125,0.41797000169754,H3KJ6WnbAM
1129801653.499023,H1,Violin_Mode,28.2322406768799,2025.31018066406,1891.203125,3718.40625,0.1875,IOhzLHZW5J
1129801661.159179,H1,Violin_Mode,16.9848098754883,2025.31018066406,1889.59741210938,3715.19482421875,0.221680000424385,YaOngbOar9
1129801662.956054,H1,Violin_Mode,9.82180023193359,2025.31018066406,1813.61499023438,3548.6318359375,0.0156299993395805,uXntg3udb2
1129801663.258789,H1,Violin_Mode,17.1029491424561,2025.31018066406,1653.40905761719,3242.81811523438,0.15625,hCfe4gbdP9
1129801667.872070,H1,Violin_Mode,24.2397804260254,2025.31018066406,1748.48645019531,3432.97290039062,0.375,vCIZB6abSK
1129801670.202148,H1,Violin_Mode,26.6533203125,2025.31018066406,1748.48645019531,3432.97290039062,0.25,dXjtH7mau8
1129801679.241211,H1,Violin_Mode,23.9715805053711,2025.31018066406,1838.46643066406,3612.93286132812,0.5,RhT7EX7F8q
